,name,id,stage,year,genres,followers,popularity
1594,Nicky Romero,5ChF3i92IPZHduM7jN3dpg,Sahara Tent,2013,"['big room', 'dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']","{'href': None, 'total': 2172445}",58
1595,Tommy Trash,1tBU8jUEdVR3mqSsAqEGfD,Sahara Tent,2013,"['aussietronica', 'australian dance', 'dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house', 'progressive house']","{'href': None, 'total': 141370}",48
1596,Thomas Gold,1XLjkBxFokuDTlHt0mQkRe,Sahara Tent,2013,"['big room', 'dutch house', 'edm', 'electro house', 'german techno', 'pop dance', 'progressive electro house', 'progressive house']","{'href': None, 'total': 161654}",43
1597,Dillon Francis,5R3Hr2cnCCjt220Jmt2xLf,Sahara Tent,2013,"['brostep', 'edm', 'electro house', 'moombahton', 'pop dance', 'progressive electro house', 'slap house']","{'href': None, 'total': 1122839}",59
1598,Dillon Francis,5R3Hr2cnCCjt220Jmt2xLf,Sahara Tent,2014,"['brostep', 'edm', 'electro house', 'moombahton', 'pop dance', 'progressive electro house', 'slap house']","{'href': None, 'total': 1122839}",59
1599,Dillon Francis,5R3Hr2cnCCjt220Jmt2xLf,Sahara Tent,2017,"['brostep', 'edm', 'electro house', 'moombahton', 'pop dance', 'progressive electro house', 'slap house']","{'href': None, 'total': 1122839}",59
1600,Dillon Francis,5R3Hr2cnCCjt220Jmt2xLf,Sahara Tent,2019,"['brostep', 'edm', 'electro house', 'moombahton', 'pop dance', 'progressive electro house', 'slap house']","{'href': None, 'total': 1122839}",59
1601,C2C,17lzZA2AlOHwCwFALHttmp,Sahara Tent,2013,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","{'href': None, 'total': 7956808}",72
1602,DJ Geo,5TNSXFCNwlq2CfiMcNOCDP,Sahara Tent,2013,"['desi pop', 'modern bollywood']","{'href': None, 'total': 21948}",50
1603,Luciano,3CJKkU0XuElRT1z8rEtIYg,Yuma Tent,2013,"['german drill', 'german hip hop']","{'href': None, 'total': 2173635}",72
1604,Seth Troxler,3JkLFcTej6tdwZoQT6Nx4B,Yuma Tent,2013,"['deep disco house', 'deep house', 'detroit house', 'detroit techno', 'house', 'microhouse', 'minimal tech house', 'minimal techno', 'techno']","{'href': None, 'total': 112011}",34
1605,DJ Harvey,4LSAINMy65w69vnT4xUq1b,Yuma Tent,2013,['balearic'],"{'href': None, 'total': 3367}",6
1606,DJ Harvey,4LSAINMy65w69vnT4xUq1b,Yuma Tent,2015,['balearic'],"{'href': None, 'total': 3367}",6
1607,Sece,3vJCYheZF5PWUvTIykvNG5,Yuma Tent,2013,['epicore'],"{'href': None, 'total': 70658}",46
1608,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Coachella Stage,2013,"['chamber pop', 'indie rock', 'indietronica', 'seattle indie']","{'href': None, 'total': 581522}",51
1609,Violent Femmes,0rpMdBzQXf7aYRnu5fDBJy,Coachella Stage,2013,"['acoustic punk', 'alternative rock', 'punk']","{'href': None, 'total': 709739}",55
1610,Dropkick Murphys,7w9jdhcgHNdiPeNPUoFSlx,Coachella Stage,2013,"['boston punk', 'boston rock', 'celtic punk', 'celtic rock', 'punk']","{'href': None, 'total': 1222534}",58
1611,Biffy Clyro,1km0R7wy712AzLkA1WjKET,Coachella Stage,2013,"['modern rock', 'scottish rock']","{'href': None, 'total': 714227}",53
1612,Theophilus London,4EMtGVFvfCSrEmWaGV0roE,Coachella Stage,2013,['alternative hip hop'],"{'href': None, 'total': 159099}",47
1613,Vintage Trouble,72Pauuctba5lMzC89R0Vk0,Coachella Stage,2013,['modern blues rock'],"{'href': None, 'total': 124744}",34
1614,DJ Gabe Real,0wVvYUUciYbWRRYUIwo7FV,Coachella Stage,2013,[],"{'href': None, 'total': 6}",0
1615,Descendents,1FGH4Bh7g9W6V4fUcKZWp5,Outdoor Theatre,2013,"['hardcore punk', 'punk', 'ska', 'skate punk']","{'href': None, 'total': 466315}",52
1616,Puscifer,2pAajGWerK3ghwToNWFENS,Outdoor Theatre,2013,"['alternative metal', 'industrial rock', 'nu metal']","{'href': None, 'total': 642560}",52
1617,Ben Howard,5schNIzWdI9gJ1QRK8SBnc,Outdoor Theatre,2013,"['british singer-songwriter', 'folk-pop']","{'href': None, 'total': 1963883}",60
1618,Danny Brown,7aA592KWirLsnfb5ulGWvU,Outdoor Theatre,2013,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'underground hip hop']","{'href': None, 'total': 844164}",58
1619,Action Bronson,7BMccF0hQFBpP6417k1OtQ,Outdoor Theatre,2013,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop']","{'href': None, 'total': 807261}",59
1620,Action Bronson,7BMccF0hQFBpP6417k1OtQ,Coachella Stage,2015,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop']","{'href': None, 'total': 807261}",59
1621,Trash Talk,4pVWSc4qEC6U3yIjQleh90,Outdoor Theatre,2013,"['black punk', 'chaotic hardcore']","{'href': None, 'total': 56517}",26
1622,Reignwolf,66YGDwn22fjphzqGCSIbbK,Outdoor Theatre,2013,"['modern alternative rock', 'modern blues rock', 'modern hard rock', 'saskatchewan indie']","{'href': None, 'total': 191000}",48
1623,Abjo,5b4KglrP9tl3JXiuYSRcRW,Outdoor Theatre,2013,['abstract beats'],"{'href': None, 'total': 10584}",16
1624,Insightful,0iq8RFnJPaAzjxStLi9Y9z,Outdoor Theatre,2013,[],"{'href': None, 'total': 10019}",26
1625,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Gobi Tent,2013,"['afrofuturism', 'alternative r&b', 'atl hip hop', 'neo soul', 'r&b']","{'href': None, 'total': 1448325}",63
1626,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Coachella Stage,2019,"['afrofuturism', 'alternative r&b', 'atl hip hop', 'neo soul', 'r&b']","{'href': None, 'total': 1448325}",63
1627,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Gobi Tent,2013,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']","{'href': None, 'total': 2901014}",68
1628,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Coachella Stage,2019,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']","{'href': None, 'total': 2901014}",68
1629,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Coachella Stage,2023,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']","{'href': None, 'total': 2901014}",68
1630,Make-Up,3S4UtnIGLI03OBpRy3wrNY,Gobi Tent,2013,['dc indie'],"{'href': None, 'total': 12429}",20
1631,The Selecter,3wRksusBxJ6npu0PryYheF,Gobi Tent,2013,"['ska', 'ska revival']","{'href': None, 'total': 124659}",35
1632,Allen Stone,536osqBGKzeozje8BfcGsa,Gobi Tent,2013,['retro soul'],"{'href': None, 'total': 361233}",47
1633,Shovels & Rope,1M3BVQ36cqPQix8lQNCh4K,Gobi Tent,2013,"['alternative country', 'indie folk', 'new americana', 'progressive bluegrass', 'south carolina indie', 'stomp and holler']","{'href': None, 'total': 176622}",42
1634,Guards,4QtPvWkKXNZ5NJ4KRaKWql,Gobi Tent,2013,"['bagpipe', 'military band']","{'href': None, 'total': 26031}",36
1635,The Colourist,0hK26QoGcuKV3lH0x9MvUU,Gobi Tent,2013,"['indie poptimism', 'metropopolis', 'shimmer pop']","{'href': None, 'total': 50096}",35
1636,Bat for Lashes,6l77PmL5iuEEcYjGl8K6s7,Mojave Tent,2013,"['art pop', 'brighton indie', 'dark pop', 'dream pop', 'etherpop', 'indietronica', 'metropopolis', 'neo-synthpop']","{'href': None, 'total': 371133}",42
1637,Bat for Lashes,6l77PmL5iuEEcYjGl8K6s7,Gobi Tent,2016,"['art pop', 'brighton indie', 'dark pop', 'dream pop', 'etherpop', 'indietronica', 'metropopolis', 'neo-synthpop']","{'href': None, 'total': 371133}",42
1638,2 Chainz,17lzZA2AlOHwCwFALHttmp,Mojave Tent,2013,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","{'href': None, 'total': 7956808}",72
1639,Savages,1WFsBUAgQmrGQQEUyFKS60,Mojave Tent,2013,"['chamber psych', 'garage rock', 'modern alternative rock']","{'href': None, 'total': 123726}",25
1640,Savages,1WFsBUAgQmrGQQEUyFKS60,Mojave Tent,2016,"['chamber psych', 'garage rock', 'modern alternative rock']","{'href': None, 'total': 123726}",25
1641,Wild Nothing,6NrkINd80slV25wkBu9mEB,Mojave Tent,2013,"['chillwave', 'dream pop', 'indie rock', 'indie surf', 'modern dream pop', 'neo-synthpop', 'noise pop', 'nu gaze', 'shimmer pop', 'shoegaze']","{'href': None, 'total': 296699}",43
1642,Mona,6ueGR6SWhUJfvEhqkvMsVs,Mojave Tent,2013,"['afrofuturism', 'alternative r&b', 'atl hip hop', 'neo soul', 'r&b']","{'href': None, 'total': 1448325}",63
1643,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,Mojave Tent,2013,"['liverpool indie', 'modern alternative rock', 'modern rock']","{'href': None, 'total': 1058743}",58
1644,Kids These Days,2A2MfAaWoDvGe0jhcZjKaY,Mojave Tent,2013,[],"{'href': None, 'total': 18755}",17
1645,Knife Party,2DuJi13MWHjRHrqRUwk8vH,Sahara Tent,2013,"['australian dance', 'brostep', 'complextro', 'edm', 'electro house', 'moombahton', 'pop dance']","{'href': None, 'total': 887544}",49
1646,Fedde Le Grand,7dc6hUwyuIhrZdh80eaCEE,Sahara Tent,2013,"['dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']","{'href': None, 'total': 373520}",54
1647,Bingo Players,1pbHrVayIcVpHI9z97u4bK,Sahara Tent,2013,"['big room', 'dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house', 'progressive house']","{'href': None, 'total': 465964}",53
1648,Kill the Noise,3qnMl4DHT4gndzFAcG4FlM,Sahara Tent,2013,"['brostep', 'complextro', 'edm', 'electro house', 'fidget house', 'filthstep']","{'href': None, 'total': 413538}",51
1649,Baauer,25fqWEebq6PoiGQIHIrdtv,Sahara Tent,2013,"['electro house', 'electronic trap']","{'href': None, 'total': 192151}",46
1650,Baauer,25fqWEebq6PoiGQIHIrdtv,Sahara Tent,2016,"['electro house', 'electronic trap']","{'href': None, 'total': 192151}",46
1651,Birdy Nam Nam,4e7qJTThm5uI3CplqZObfT,Sahara Tent,2013,"['filter house', 'turntablism']","{'href': None, 'total': 121705}",45
1652,3Ball MTY,1MLs9allBZrajb5Dc4146L,Sahara Tent,2013,['trival'],"{'href': None, 'total': 110404}",49
1653,Been Trill,02b0g5OL2PaM6YPKaiD5II,Sahara Tent,2013,[],"{'href': None, 'total': 25}",6
1654,Cassy,3X8VK5wNpLQCVEo4sWBH2A,Yuma Tent,2013,[],"{'href': None, 'total': 91400}",43
1655,Cassy,3X8VK5wNpLQCVEo4sWBH2A,Yuma Tent,2016,[],"{'href': None, 'total': 91400}",43
1656,Julio Bashmore,0WAZJYudbUpl0EOjvdrnRG,Yuma Tent,2013,"['bristol electronic', 'future garage', 'house']","{'href': None, 'total': 69463}",31
1657,The 2 Bears,0tCMgjr8y7UKNmE3B1Uwbl,Yuma Tent,2013,[],"{'href': None, 'total': 43600}",24
1658,Huoratron,2SRSJhAtFtJRhizJMdf0Gt,Yuma Tent,2013,"['electro trash', 'finnish edm']","{'href': None, 'total': 9744}",11
1659,Lauren Lane,4ZPNmWgbjJCiLxh1MqtyNu,Yuma Tent,2013,[],"{'href': None, 'total': 5409}",13
1660,Lauren Lane,4ZPNmWgbjJCiLxh1MqtyNu,Yuma Tent,2015,[],"{'href': None, 'total': 5409}",13
1661,Nick Cave and the Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,Coachella Stage,2013,"['alternative rock', 'chamber pop', 'permanent wave', 'singer-songwriter']","{'href': None, 'total': 1381988}",59
1662,Social Distortion,16nn7kCHPWIB6uK09GQCNI,Coachella Stage,2013,"['punk', ""punk 'n' roll"", 'skate punk', 'socal pop punk']","{'href': None, 'total': 630987}",52
1663,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,Coachella Stage,2013,"['folk-pop', 'modern rock', 'neo mellow', 'stomp and holler']","{'href': None, 'total': 5355655}",74
1664,Ghost B.C.,7oyeTv9TonnJ2oEVIwjBRp,Coachella Stage,2013,[],"{'href': None, 'total': 7933}",23
1665,Slipping Into Darkness,17sVlyghRICk7al3bDXoqU,Coachella Stage,2013,[],"{'href': None, 'total': 987}",2
1666,Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,Outdoor Theatre,2013,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']","{'href': None, 'total': 3082706}",63
1667,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,Outdoor Theatre,2013,"['alternative rock', 'lo-fi', 'noise pop', 'noise rock', 'permanent wave', 'power pop']","{'href': None, 'total': 526609}",47
1668,JEFF the Brotherhood,1yhtlCNnRgCNGnsy2K7mHm,Outdoor Theatre,2013,[],"{'href': None, 'total': 40184}",25
1669,Smith Westerns,3yEqgEvatASNm30zZR3ZHl,Outdoor Theatre,2013,"['chicago indie', 'noise pop']","{'href': None, 'total': 55152}",25
1670,Raider Klan,3GCJ2EaioNFmPgUPur3wCf,Outdoor Theatre,2013,"['cloud rap', 'underground hip hop']","{'href': None, 'total': 35487}",14
1671,Wild Belle,4wHZkzWXD9GPr4RQAYjUcv,Outdoor Theatre,2013,['shimmer pop'],"{'href': None, 'total': 137030}",40
1672,Sango,7e3FtKBIPLrIVm8g1FJMVg,Outdoor Theatre,2013,"['alternative r&b', 'indie soul']","{'href': None, 'total': 198783}",51
1673,Esta,7FZj349hdLfD6qzXkJLuAh,Outdoor Theatre,2013,"['latin arena pop', 'latin pop', 'spanish pop rock']","{'href': None, 'total': 2943465}",62
1674,Disclosure,6nS5roXSAGhTGr34W6n7Et,Gobi Tent,2013,"['edm', 'house', 'indietronica', 'uk dance']","{'href': None, 'total': 2163635}",70
1675,Disclosure,6nS5roXSAGhTGr34W6n7Et,Outdoor Theatre,2014,"['edm', 'house', 'indietronica', 'uk dance']","{'href': None, 'total': 2163635}",70
1676,Disclosure,6nS5roXSAGhTGr34W6n7Et,Coachella Stage,2016,"['edm', 'house', 'indietronica', 'uk dance']","{'href': None, 'total': 2163635}",70
1677,Disclosure,6nS5roXSAGhTGr34W6n7Et,Outdoor Theatre,2022,"['edm', 'house', 'indietronica', 'uk dance']","{'href': None, 'total': 2163635}",70
1678,Dub FX,4ucW1LE5T7y7X4jlaKCeVo,Gobi Tent,2013,['beatboxing'],"{'href': None, 'total': 206009}",39
1679,OMD,1wut91Z0aLx8JiFdEbaZNm,Gobi Tent,2013,['mahraganat'],"{'href': None, 'total': 15649}",37
1680,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,Gobi Tent,2013,"['art pop', 'chamber pop', 'indie rock', 'singer-songwriter', 'stomp and holler']","{'href': None, 'total': 820219}",67
1681,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,Outdoor Theatre,2015,"['art pop', 'chamber pop', 'indie rock', 'singer-songwriter', 'stomp and holler']","{'href': None, 'total': 820219}",67
1682,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,Coachella Stage,2017,"['art pop', 'chamber pop', 'indie rock', 'singer-songwriter', 'stomp and holler']","{'href': None, 'total': 820219}",67
1683,Rodriguez,2a84LFOuPFQX3qGB26eu9O,Gobi Tent,2013,[],"{'href': None, 'total': 77026}",60
1684,Tanlines,7pW390CJdmhakvtcGZIqGP,Gobi Tent,2013,"['balearic', 'brooklyn indie', 'chillwave', 'shimmer pop']","{'href': None, 'total': 47066}",24
1685,Grimes,053q0ukIDRgzwTr4vNSwab,Gobi Tent,2013,"['art pop', 'canadian electropop', 'grave wave', 'indietronica', 'metropopolis', 'neo-synthpop']","{'href': None, 'total': 2334175}",65
